id,user_id,animal_id,telemetry_data,mac_id,timestamp,Time Difference (s)
1278729,5,25,"05,04,F3",C2:8F:71:A6:0C:DE,1640005704,0
1278730,5,25,"06,03,F1",C2:8F:71:A6:0C:DE,1640005704,0
1278731,5,25,"10,05,FD",C2:8F:71:A6:0C:DE,1640005704,0
1278732,5,25,"0E,03,FC",C2:8F:71:A6:0C:DE,1640005704,0
1278733,5,25,"0E,04,FA",C2:8F:71:A6:0C:DE,1640005704,0
1278734,5,25,"0D,05,FA",C2:8F:71:A6:0C:DE,1640005704,0
1278735,5,25,"12,FB,07",C2:8F:71:A6:0C:DE,1640005704,0
1278736,5,25,"0E,F9,00",C2:8F:71:A6:0C:DE,1640005704,58728
1292209,5,25,"0E,05,00",C2:8F:71:A6:0C:DE,1640064432,0
1292210,5,25,"0F,05,FF",C2:8F:71:A6:0C:DE,1640064432,0
1292211,5,25,"0E,04,FF",C2:8F:71:A6:0C:DE,1640064432,0
1292212,5,25,"0E,05,00",C2:8F:71:A6:0C:DE,1640064432,0
1292213,5,25,"0E,05,00",C2:8F:71:A6:0C:DE,1640064432,0
1292214,5,25,"0E,05,FF",C2:8F:71:A6:0C:DE,1640064432,0
1292215,5,25,"0F,05,FF",C2:8F:71:A6:0C:DE,1640064432,0
1292216,5,25,"0E,05,FF",C2:8F:71:A6:0C:DE,1640064432,3229
1301577,5,25,"FF,4A,0E",C2:8F:71:A6:0C:DE,1640067661,0
1301578,5,25,"28,20,F4",C2:8F:71:A6:0C:DE,1640067661,0
1301579,5,25,"12,FD,00",C2:8F:71:A6:0C:DE,1640067661,0
1301580,5,25,"0B,03,FF",C2:8F:71:A6:0C:DE,1640067661,0
1301581,5,25,"0A,0F,02",C2:8F:71:A6:0C:DE,1640067661,0
1301582,5,25,"10,74,D5",C2:8F:71:A6:0C:DE,1640067661,0
1301583,5,25,"0D,F0,05",C2:8F:71:A6:0C:DE,1640067661,0
1301584,5,25,"0F,12,0B",C2:8F:71:A6:0C:DE,1640067661,8
1301617,5,25,"15,EA,05",C2:8F:71:A6:0C:DE,1640067669,0
1301618,5,25,"18,05,FE",C2:8F:71:A6:0C:DE,1640067669,0
1301619,5,25,"16,05,FF",C2:8F:71:A6:0C:DE,1640067669,0
1301620,5,25,"07,F6,03",C2:8F:71:A6:0C:DE,1640067669,0
1301621,5,25,"FB,4C,09",C2:8F:71:A6:0C:DE,1640067669,0
1301622,5,25,"06,39,0D",C2:8F:71:A6:0C:DE,1640067669,0
1301623,5,25,"0C,07,FF",C2:8F:71:A6:0C:DE,1640067669,0
1301624,5,25,"0C,08,FF",C2:8F:71:A6:0C:DE,1640067669,561
1303657,5,25,"0D,07,FF",C2:8F:71:A6:0C:DE,1640068230,0
1303658,5,25,"0D,07,FF",C2:8F:71:A6:0C:DE,1640068230,0
1303659,5,25,"0C,07,FE",C2:8F:71:A6:0C:DE,1640068230,0
1303660,5,25,"0C,08,FF",C2:8F:71:A6:0C:DE,1640068230,0
1303661,5,25,"0D,08,FF",C2:8F:71:A6:0C:DE,1640068230,0
1303662,5,25,"0C,07,FE",C2:8F:71:A6:0C:DE,1640068230,0
1303663,5,25,"0C,08,FF",C2:8F:71:A6:0C:DE,1640068230,0
1303664,5,25,"0D,08,FF",C2:8F:71:A6:0C:DE,1640068230,20688
1304849,5,25,"0D,06,FF",C2:8F:71:A6:0C:DE,1640088918,0
1304850,5,25,"0D,06,FF",C2:8F:71:A6:0C:DE,1640088918,0
1304851,5,25,"0D,05,FF",C2:8F:71:A6:0C:DE,1640088918,0
1304852,5,25,"0E,05,FF",C2:8F:71:A6:0C:DE,1640088918,0
1304853,5,25,"0E,06,FF",C2:8F:71:A6:0C:DE,1640088918,0
1304854,5,25,"0D,06,FF",C2:8F:71:A6:0C:DE,1640088918,0
1304855,5,25,"0C,07,00",C2:8F:71:A6:0C:DE,1640088918,0
1304856,5,25,"0D,08,FE",C2:8F:71:A6:0C:DE,1640088918,98
1305169,5,25,"0E,05,00",C2:8F:71:A6:0C:DE,1640089016,0
1305170,5,25,"0E,05,00",C2:8F:71:A6:0C:DE,1640089016,0
1305171,5,25,"0E,04,FF",C2:8F:71:A6:0C:DE,1640089016,0
1305172,5,25,"0E,05,FF",C2:8F:71:A6:0C:DE,1640089016,0
1305173,5,25,"0E,05,00",C2:8F:71:A6:0C:DE,1640089016,0
1305174,5,25,"0E,04,FF",C2:8F:71:A6:0C:DE,1640089016,0
1305175,5,25,"0E,05,FF",C2:8F:71:A6:0C:DE,1640089016,0
1305176,5,25,"0E,05,00",C2:8F:71:A6:0C:DE,1640089016,163
1305865,5,25,"0D,06,FF",C2:8F:71:A6:0C:DE,1640089179,0
1305866,5,25,"0E,06,FF",C2:8F:71:A6:0C:DE,1640089179,0
1305867,5,25,"0D,06,FF",C2:8F:71:A6:0C:DE,1640089179,0
1305868,5,25,"0D,06,FF",C2:8F:71:A6:0C:DE,1640089179,0
1305869,5,25,"0E,06,FF",C2:8F:71:A6:0C:DE,1640089179,0
1305870,5,25,"0D,06,FF",C2:8F:71:A6:0C:DE,1640089179,0
1305871,5,25,"0D,06,FF",C2:8F:71:A6:0C:DE,1640089179,0
1305872,5,25,"0E,06,FF",C2:8F:71:A6:0C:DE,1640089179,658
1307793,5,25,"0D,06,FF",C2:8F:71:A6:0C:DE,1640089837,0
1307794,5,25,"0D,06,FF",C2:8F:71:A6:0C:DE,1640089837,0
1307795,5,25,"0E,06,FF",C2:8F:71:A6:0C:DE,1640089837,0
